area;mh;ind;bird_feaces;mammal_feaces;bird_seeds;mammal_seeds;total_seeds;sampled_area_m2;density_raw;seed_density_m2;focal_point;x;y;random_drop
SABMAR;OA;MT8M5;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M6;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M7;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M8;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M9;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M11;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M12;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M13;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M14;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M15;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M16;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M17;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M18;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M19;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M20;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M21;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M22;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M23;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M24;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M25;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M26;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M27;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M28;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M29;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M30;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M32;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M33;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M34;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M36;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M37;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M38;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M42;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M43;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M44;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
SABMAR;OA;MT8M45;0;0;0;0;0;1;0;0;YES;-6.53268769;37.01220603;no
