sampled;knownPopulation;FAM01_DFAGA;FAM01_DFAGAb;FAM03_022206;FAM03_022206b;FAM06_84596;FAM06_84596b;NED07_DCRW4;NED07_DCRW4b;NED08_033740;NED08_033740b;NED09_ESGND;NED09_ESGNDb;VIC12_DMX65;VIC12_DMX65b;VIC13_015521;VIC13_015521b;VIC14_127300;VIC14_127300b;PET15_DLXB1;PET15_DLXB1b;PET16_064797;PET16_064797b;PET17_58859;PET17_58859b
81_Jp_End_051B_P01;3;93;95;169;169;259;259;97;99;133;135;154;163;128;128;187;197;236;246;140;140;209;209;236;236
82_Jp_End_052A_P01;3;91;93;169;169;277;277;95;95;133;133;154;161;108;128;187;191;231;246;138;138;209;213;238;238
83_Jp_End_053A_P01;3;95;95;169;169;245;271;97;99;133;135;156;161;122;122;191;199;236;246;140;140;209;209;236;244
84_Jp_End_053B_P01;3;95;95;169;169;245;271;97;99;135;135;156;161;122;122;191;199;236;246;140;140;209;209;236;244
85_Jp_End_054A_P01;3;93;93;169;169;259;259;97;99;135;135;154;163;108;144;187;187;227;246;140;140;205;209;238;244
86_Jp_End_054B_P01;3;93;93;169;169;245;245;97;99;135;135;154;163;122;144;187;197;227;246;140;140;205;209;238;244
87_Jp_End_054C_P01;3;95;95;169;171;245;259;97;99;135;135;154;163;108;144;187;187;227;246;138;140;205;209;244;244
88_Jp_End_055A_P01;3;91;95;169;171;245;259;97;97;135;135;154;163;108;128;0;0;227;227;136;140;203;205;236;244
89_Jp_End_056A_P01;3;93;95;169;169;245;259;95;95;133;135;154;161;0;0;187;187;231;246;136;140;213;213;240;240
90_Jp_End_056B_P01;3;95;95;169;169;245;259;95;95;133;135;154;161;0;0;187;187;231;246;136;136;213;213;238;238
91_Jp_End_057A_P01;3;95;95;169;169;247;247;95;97;135;135;154;154;0;0;187;197;246;246;140;140;203;207;238;244
92_Jp_End_057B_P01;3;93;95;169;171;247;247;95;95;135;135;154;163;0;0;187;187;246;246;136;140;203;209;238;244
93_Jp_End_058A_P01;3;91;91;169;169;259;259;95;95;135;135;161;161;144;156;187;187;231;246;138;140;213;213;238;246
94_Jp_End_058B_P01;3;91;95;171;171;259;271;95;99;135;135;154;161;144;156;187;187;246;246;136;140;213;213;246;246
01_Jp_End_058C_P02;3;91;95;169;171;259;271;95;99;135;135;161;161;144;156;187;187;246;246;136;140;205;213;238;246
02_Jp_End_059A_P02;3;95;95;169;169;259;259;97;97;133;133;154;154;122;128;187;197;246;246;136;136;207;209;238;238
03_Jp_End_059B_P02;3;95;95;169;169;259;271;97;97;133;133;154;154;122;128;187;197;246;246;136;136;207;209;238;238
04_Jp_End_060A_P02;3;91;93;169;169;259;271;95;97;133;135;161;161;108;108;187;187;231;246;136;140;209;213;238;238
05_Jp_End_060B_P02;3;91;93;169;169;259;271;95;97;133;135;161;161;108;108;187;187;231;246;136;140;209;213;238;238
06_Jp_End_060C_P02;3;91;93;169;169;259;259;95;97;133;135;161;161;108;108;187;197;231;246;136;136;213;213;238;238
07_Jp_End_060D_P02;3;91;93;169;169;259;283;95;97;133;135;161;161;108;144;187;187;231;246;136;136;209;213;236;238
08_Jp_End_061A_P02;3;91;95;169;171;259;271;95;95;135;135;161;161;144;156;187;187;231;246;136;140;209;213;238;238
09_Jp_End_061B_P02;3;91;95;169;171;259;271;95;99;135;135;161;161;144;156;187;187;244;246;136;140;209;213;238;238
10_Jp_End_061C_P02;3;91;95;169;171;259;269;95;99;135;135;161;161;144;156;187;187;246;246;136;140;213;213;238;238
11_Jp_End_062A_P02;3;93;95;169;169;245;259;95;99;133;135;161;163;108;144;189;197;236;236;140;140;207;209;236;238
12_Jp_End_062B_P02;3;93;95;169;169;245;259;95;99;133;135;161;163;108;144;189;197;236;236;140;140;207;209;236;238
13_Jp_End_062C_P02;3;93;95;169;169;245;259;95;99;133;135;161;163;108;144;189;197;236;236;140;140;207;209;236;238
